trajectory_key,trajectory_display,comparison_label_final,Position_RMSE_m,Comp_Time_ms,results_dir
fig8_contraction,Fig8 Contraction,Contraction ff,0.179653,0.145486,/home/egmc/ws_contraction_px4/src/data_analysis/results/agents_matrix_20260401/main_matrix/fig8_contraction/contraction_ff
fig8_contraction,Fig8 Contraction,Contraction noff,0.153137,0.120786,/home/egmc/ws_contraction_px4/src/data_analysis/results/agents_matrix_20260401/main_matrix/fig8_contraction/contraction_noff
fig8_contraction,Fig8 Contraction,FBL default,0.7554,0.900466,/home/egmc/ws_contraction_px4/src/data_analysis/results/agents_matrix_20260401/fbl_tuning/fig8_contraction/fbl_default
fig8_contraction,Fig8 Contraction,FBL tuned (aggressive),0.488426,0.811796,/home/egmc/ws_contraction_px4/src/data_analysis/results/agents_matrix_20260401/fbl_tuning/fig8_contraction/fbl_aggressive
fig8_contraction,Fig8 Contraction,Flatness Feedforward,40.879052,0.487071,/home/egmc/ws_contraction_px4/src/data_analysis/results/agents_matrix_20260401/main_matrix/fig8_contraction/flat_ff
fig8_contraction,Fig8 Contraction,NMPC ff,0.142965,1.624941,/home/egmc/ws_contraction_px4/src/data_analysis/results/agents_matrix_20260401/main_matrix/fig8_contraction/nmpc_ff
fig8_contraction,Fig8 Contraction,NMPC noff,0.133517,1.566523,/home/egmc/ws_contraction_px4/src/data_analysis/results/agents_matrix_20260401/main_matrix/fig8_contraction/nmpc_noff
fig8_contraction,Fig8 Contraction,NR Diff-Flat baseline ff,1.382494,0.669522,/home/egmc/ws_contraction_px4/src/data_analysis/results/agents_matrix_20260401/main_matrix/fig8_contraction/nr_baseline_ff
fig8_contraction,Fig8 Contraction,NR Diff-Flat baseline noff,1.310223,0.668396,/home/egmc/ws_contraction_px4/src/data_analysis/results/agents_matrix_20260401/main_matrix/fig8_contraction/nr_baseline_noff
fig8_contraction,Fig8 Contraction,NR Diff-Flat workshop ff,0.564521,0.672387,/home/egmc/ws_contraction_px4/src/data_analysis/results/agents_matrix_20260401/main_matrix/fig8_contraction/nr_workshop_ff
fig8_contraction,Fig8 Contraction,NR Diff-Flat workshop noff,0.512137,0.667769,/home/egmc/ws_contraction_px4/src/data_analysis/results/agents_matrix_20260401/main_matrix/fig8_contraction/nr_workshop_noff
fig8_contraction,Fig8 Contraction,NR Enhanced baseline ff,1.013462,0.72521,/home/egmc/ws_contraction_px4/src/data_analysis/results/agents_matrix_20260401/main_matrix/fig8_contraction/nr_baseline_ff
fig8_contraction,Fig8 Contraction,NR Enhanced baseline noff,1.00933,0.497195,/home/egmc/ws_contraction_px4/src/data_analysis/results/agents_matrix_20260401/main_matrix/fig8_contraction/nr_baseline_noff
fig8_contraction,Fig8 Contraction,NR Enhanced workshop ff,13.563184,0.778945,/home/egmc/ws_contraction_px4/src/data_analysis/results/agents_matrix_20260401/main_matrix/fig8_contraction/nr_workshop_ff
fig8_contraction,Fig8 Contraction,NR Enhanced workshop noff,12.539564,0.470716,/home/egmc/ws_contraction_px4/src/data_analysis/results/agents_matrix_20260401/main_matrix/fig8_contraction/nr_workshop_noff
fig8_contraction,Fig8 Contraction,Standard NR baseline ff,0.994875,0.610657,/home/egmc/ws_contraction_px4/src/data_analysis/results/agents_matrix_20260401/main_matrix/fig8_contraction/nr_baseline_ff
fig8_contraction,Fig8 Contraction,Standard NR baseline noff,0.994069,0.219314,/home/egmc/ws_contraction_px4/src/data_analysis/results/agents_matrix_20260401/main_matrix/fig8_contraction/nr_baseline_noff
fig8_contraction,Fig8 Contraction,Standard NR workshop ff,0.734944,0.627459,/home/egmc/ws_contraction_px4/src/data_analysis/results/agents_matrix_20260401/main_matrix/fig8_contraction/nr_workshop_ff
fig8_contraction,Fig8 Contraction,Standard NR workshop noff,0.724469,0.260426,/home/egmc/ws_contraction_px4/src/data_analysis/results/agents_matrix_20260401/main_matrix/fig8_contraction/nr_workshop_noff
fig8_heading_contraction,Fig8 Heading Contraction,Contraction ff,0.158229,0.184158,/home/egmc/ws_contraction_px4/src/data_analysis/results/agents_matrix_20260401/main_matrix/fig8_heading_contraction/contraction_ff
fig8_heading_contraction,Fig8 Heading Contraction,Contraction noff,0.151768,0.241763,/home/egmc/ws_contraction_px4/src/data_analysis/results/agents_matrix_20260401/main_matrix/fig8_heading_contraction/contraction_noff
fig8_heading_contraction,Fig8 Heading Contraction,FBL default,136.25411,0.809403,/home/egmc/ws_contraction_px4/src/data_analysis/results/agents_matrix_20260401/fbl_tuning/fig8_heading_contraction/fbl_default
fig8_heading_contraction,Fig8 Heading Contraction,FBL tuned (aggressive),112.489904,0.841804,/home/egmc/ws_contraction_px4/src/data_analysis/results/agents_matrix_20260401/fbl_tuning/fig8_heading_contraction/fbl_aggressive
fig8_heading_contraction,Fig8 Heading Contraction,Flatness Feedforward,43.140267,0.477276,/home/egmc/ws_contraction_px4/src/data_analysis/results/agents_matrix_20260401/main_matrix/fig8_heading_contraction/flat_ff
fig8_heading_contraction,Fig8 Heading Contraction,NMPC ff,0.077771,1.823588,/home/egmc/ws_contraction_px4/src/data_analysis/results/agents_matrix_20260401/main_matrix/fig8_heading_contraction/nmpc_ff
fig8_heading_contraction,Fig8 Heading Contraction,NMPC noff,0.078444,1.753164,/home/egmc/ws_contraction_px4/src/data_analysis/results/agents_matrix_20260401/main_matrix/fig8_heading_contraction/nmpc_noff
fig8_heading_contraction,Fig8 Heading Contraction,NR Diff-Flat baseline ff,0.84579,0.678844,/home/egmc/ws_contraction_px4/src/data_analysis/results/agents_matrix_20260401/main_matrix/fig8_heading_contraction/nr_baseline_ff
fig8_heading_contraction,Fig8 Heading Contraction,NR Diff-Flat baseline noff,0.834944,0.70691,/home/egmc/ws_contraction_px4/src/data_analysis/results/agents_matrix_20260401/main_matrix/fig8_heading_contraction/nr_baseline_noff
fig8_heading_contraction,Fig8 Heading Contraction,NR Diff-Flat workshop ff,0.339109,0.695206,/home/egmc/ws_contraction_px4/src/data_analysis/results/agents_matrix_20260401/main_matrix/fig8_heading_contraction/nr_workshop_ff
fig8_heading_contraction,Fig8 Heading Contraction,NR Diff-Flat workshop noff,0.311261,0.678356,/home/egmc/ws_contraction_px4/src/data_analysis/results/agents_matrix_20260401/main_matrix/fig8_heading_contraction/nr_workshop_noff
fig8_heading_contraction,Fig8 Heading Contraction,NR Enhanced baseline ff,0.641775,0.72223,/home/egmc/ws_contraction_px4/src/data_analysis/results/agents_matrix_20260401/main_matrix/fig8_heading_contraction/nr_baseline_ff
fig8_heading_contraction,Fig8 Heading Contraction,NR Enhanced baseline noff,0.627364,0.529348,/home/egmc/ws_contraction_px4/src/data_analysis/results/agents_matrix_20260401/main_matrix/fig8_heading_contraction/nr_baseline_noff
fig8_heading_contraction,Fig8 Heading Contraction,NR Enhanced workshop ff,0.44461,0.814039,/home/egmc/ws_contraction_px4/src/data_analysis/results/agents_matrix_20260401/main_matrix/fig8_heading_contraction/nr_workshop_ff
fig8_heading_contraction,Fig8 Heading Contraction,NR Enhanced workshop noff,0.442781,0.509288,/home/egmc/ws_contraction_px4/src/data_analysis/results/agents_matrix_20260401/main_matrix/fig8_heading_contraction/nr_workshop_noff
fig8_heading_contraction,Fig8 Heading Contraction,Standard NR baseline ff,0.625962,0.62489,/home/egmc/ws_contraction_px4/src/data_analysis/results/agents_matrix_20260401/main_matrix/fig8_heading_contraction/nr_baseline_ff
fig8_heading_contraction,Fig8 Heading Contraction,Standard NR baseline noff,0.623074,0.248493,/home/egmc/ws_contraction_px4/src/data_analysis/results/agents_matrix_20260401/main_matrix/fig8_heading_contraction/nr_baseline_noff
fig8_heading_contraction,Fig8 Heading Contraction,Standard NR workshop ff,0.457475,0.604223,/home/egmc/ws_contraction_px4/src/data_analysis/results/agents_matrix_20260401/main_matrix/fig8_heading_contraction/nr_workshop_ff
fig8_heading_contraction,Fig8 Heading Contraction,Standard NR workshop noff,0.483734,0.255739,/home/egmc/ws_contraction_px4/src/data_analysis/results/agents_matrix_20260401/main_matrix/fig8_heading_contraction/nr_workshop_noff
