trajectory_key,trajectory_display,comparison_label_final,Position_RMSE_m,Comp_Time_ms,results_dir
circle_horz,Circle Horizontal,NMPC ff,0.102671,1.776955,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_horz/nmpc_ff
circle_horz,Circle Horizontal,NMPC noff,0.10544,1.836516,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_horz/nmpc_noff
circle_horz,Circle Horizontal,NR Diff-Flat baseline ff,0.634744,0.751201,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_horz/nr_baseline_ff
circle_horz,Circle Horizontal,NR Diff-Flat baseline noff,0.595158,0.747424,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_horz/nr_baseline_noff
circle_horz,Circle Horizontal,NR Diff-Flat workshop ff,0.271265,0.740996,/home/egmc/ws_contraction_px4/src/data_analysis/results/nr_diff_flat_ff_hybridtiming_workshop_circle_horz_20260402
circle_horz,Circle Horizontal,NR Diff-Flat workshop noff,0.302692,0.737606,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_horz/nr_workshop_noff
circle_horz,Circle Horizontal,NR Enhanced baseline ff,0.39677,0.856372,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_horz/nr_baseline_ff
circle_horz,Circle Horizontal,NR Enhanced baseline noff,0.379733,0.58651,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_horz/nr_baseline_noff
circle_horz,Circle Horizontal,NR Enhanced workshop ff,0.281686,0.938448,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_horz/nr_workshop_ff
circle_horz,Circle Horizontal,NR Enhanced workshop noff,0.260071,0.638979,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_horz/nr_workshop_noff
circle_horz,Circle Horizontal,Standard NR baseline ff,0.385546,0.712708,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_horz/nr_baseline_ff
circle_horz,Circle Horizontal,Standard NR baseline noff,0.385689,0.262471,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_horz/nr_baseline_noff
circle_horz,Circle Horizontal,Standard NR workshop ff,0.280785,0.718134,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_horz/nr_workshop_ff
circle_horz,Circle Horizontal,Standard NR workshop noff,0.263959,0.324246,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_horz/nr_workshop_noff
circle_vert,Circle Vertical,NMPC ff,0.074012,1.861415,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_vert/nmpc_ff
circle_vert,Circle Vertical,NMPC noff,0.066442,1.853472,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_vert/nmpc_noff
circle_vert,Circle Vertical,NR Diff-Flat baseline ff,0.341491,0.74769,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_vert/nr_baseline_ff
circle_vert,Circle Vertical,NR Diff-Flat baseline noff,0.310903,0.75959,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_vert/nr_baseline_noff
circle_vert,Circle Vertical,NR Diff-Flat workshop ff,0.102813,0.695428,/home/egmc/ws_contraction_px4/src/data_analysis/results/nr_diff_flat_ff_timingfix_workshop_circle_vert_20260402
circle_vert,Circle Vertical,NR Diff-Flat workshop noff,0.104739,0.757111,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_vert/nr_workshop_noff
circle_vert,Circle Vertical,NR Enhanced baseline ff,0.270275,0.859805,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_vert/nr_baseline_ff
