platform,controller,trajectory,traj_double,traj_short,traj_spin,lookahead_time,time,traj_time,ref_time,comp_time,x,y,z,yaw,vx,vy,vz,x_ref,y_ref,z_ref,yaw_ref,vx_ref,vy_ref,vz_ref,p,q,r,throttle_input,p_input,q_input,r_input,cbf_v_throttle,cbf_v_p,cbf_v_q,cbf_v_r
SIM,nr,F8_CONTRACTION,NormSpd,Not Short,NoSpin,1.2,10.0899,0.0799669,1.27997,5.9868e-05,0.0860776,-0.090645,-2.86562,0.00413371,0.0141296,0.0863754,-0.0848922,1.44059,0.999291,-3,0,0.871689,-0.0473107,0,0.0590271,-0.163321,0.0192959,0.758348,0.341932,-0.544509,0.110104,0,0,0,0
SIM,nr,F8_CONTRACTION,NormSpd,Not Short,NoSpin,1.2,10.1899,0.179969,1.37997,4.2879e-05,0.094423,-0.08058,-2.87645,0.0021166,0.0200443,0.0970047,-0.140413,1.52486,0.986692,-3,0,0.813133,-0.204328,0,0.252712,-0.509558,0.0367349,0.760107,0.326766,-0.547008,0.11353,0,0,0,0
SIM,nr,F8_CONTRACTION,NormSpd,Not Short,NoSpin,1.2,10.2899,0.279959,1.47996,5.9597e-05,0.103778,-0.0686046,-2.89359,0.00129988,0.0687821,0.13035,-0.208036,1.6031,0.958536,-3,0,0.751375,-0.358104,0,0.32861,-0.530293,0.0628946,0.753608,0.244904,-0.434632,0.0791728,0,0,0,0
SIM,nr,F8_CONTRACTION,NormSpd,Not Short,NoSpin,1.2,10.3899,0.379983,1.57998,6.0564e-05,0.118927,-0.0530083,-2.91504,0.00113538,0.156617,0.187438,-0.252991,1.67504,0.91525,-3,0,0.68663,-0.506283,0,0.258174,-0.418015,0.0815957,0.745703,0.129745,-0.29759,0.0421328,0,0,0,0
SIM,nr,F8_CONTRACTION,NormSpd,Not Short,NoSpin,1.2,10.4899,0.47997,1.67997,5.596e-05,0.151558,-0.026355,-2.94512,0.00117062,0.302034,0.278592,-0.282493,1.74035,0.857546,-3,0,0.6192,-0.646424,0,0.1198,-0.259561,0.0893625,0.738629,0.0120476,-0.164299,0.0146815,0,0,0,0
SIM,nr,F8_CONTRACTION,NormSpd,Not Short,NoSpin,1.2,10.5899,0.579978,1.77998,5.6056e-05,0.199741,0.00664366,-2.97524,0.000628002,0.462086,0.37018,-0.29062,1.7988,0.786306,-3,0,0.549312,-0.776397,0,-0.013299,-0.123737,0.0834919,0.732829,-0.0910753,-0.0385445,0.000860892,0,0,0,0
SIM,nr,F8_CONTRACTION,NormSpd,Not Short,NoSpin,1.2,10.6899,0.679963,1.87996,5.7216e-05,0.273857,0.0502347,-3.00817,-0.00282579,0.649831,0.46041,-0.284571,1.85014,0.702683,-3,0,0.477272,-0.894101,0,-0.130289,0.0131917,0.071475,0.728694,-0.167891,0.0748004,0.001466,0,0,0,0
SIM,nr,F8_CONTRACTION,NormSpd,Not Short,NoSpin,1.2,10.7899,0.779998,1.98,5.6732e-05,0.364502,0.0944403,-3.03717,-0.0141558,0.827549,0.520879,-0.271434,1.8942,0.607932,-3,0,0.403311,-0.997756,0,-0.209987,0.124569,0.056834,0.72622,-0.214197,0.168795,0.0164529,0,0,0,0
SIM,nr,F8_CONTRACTION,NormSpd,Not Short,NoSpin,1.2,10.8899,0.879998,2.08,5.6901e-05,0.486298,0.14166,-3.06635,-0.0395203,1.01505,0.547322,-0.254412,1.93076,0.503625,-3,0,0.327784,-1.08564,0,-0.253696,0.230437,0.0478763,0.724969,-0.229195,0.252885,0.046714,0,0,0,0
SIM,nr,F8_CONTRACTION,NormSpd,Not Short,NoSpin,1.2,10.9899,0.979982,2.17998,5.6257e-05,0.617675,0.179925,-3.09097,-0.0739555,1.17186,0.529702,-0.240153,1.95971,0.391394,-3,0,0.250977,-1.15639,0,-0.260021,0.307914,0.0492065,0.724653,-0.218641,0.314687,0.0863393,0,0,0,0
SIM,nr,F8_CONTRACTION,NormSpd,Not Short,NoSpin,1.2,11.0899,1.07994,2.27994,3.5346e-05,0.776338,0.210004,-3.1154,-0.119632,1.31094,0.465458,-0.227358,1.98091,0.273026,-3,0,0.1732,-1.20889,0,-0.236909,0.365004,0.0592863,0.724925,-0.19073,0.350902,0.129363,0,0,0,0
SIM,nr,F8_CONTRACTION,NormSpd,Not Short,NoSpin,1.2,11.1899,1.17996,2.37996,3.5683e-05,0.932267,0.224925,-3.13674,-0.163098,1.39854,0.375269,-0.218702,1.99431,0.150279,-3,0,0.094692,-1.24237,0,-0.200935,0.388226,0.080198,0.725418,-0.157587,0.359159,0.169742,0,0,0,0
SIM,nr,F8_CONTRACTION,NormSpd,Not Short,NoSpin,1.2,11.2899,1.27997,2.47997,5.8929e-05,1.10396,0.226409,-3.15908,-0.204042,1.4405,0.261332,-0.211574,1.99984,0.0251693,-3,0,0.0158156,-1.25624,0,-0.158827,0.385166,0.110277,0.725832,-0.127771,0.340796,0.20232,0,0,0,0
SIM,nr,F8_CONTRACTION,NormSpd,Not Short,NoSpin,1.2,11.3899,1.37993,2.57993,3.5449e-05,1.2588,0.215763,-3.17876,-0.231063,1.42891,0.155373,-0.204933,1.99748,-0.100279,-3,0,-0.063087,-1.2503,0,-0.122377,0.355892,0.140632,0.726066,-0.105575,0.300949,0.224256,0,0,0,0
SIM,nr,F8_CONTRACTION,NormSpd,Not Short,NoSpin,1.2,11.4899,1.47995,2.67995,3.759e-05,1.41617,0.194791,-3.19921,-0.246049,1.36667,0.050768,-0.196211,1.98723,-0.224212,-3,0,-0.141782,-1.22464,0,-0.0986949,0.303033,0.173153,0.7261,-0.0903191,0.246827,0.234226,0,0,0,0
SIM,nr,F8_CONTRACTION,NormSpd,Not Short,NoSpin,1.2,11.5899,1.57995,2.77995,4.7222e-05,1.54657,0.169406,-3.21702,-0.247484,1.27025,-0.0335787,-0.185676,1.96914,-0.344589,-3,0,-0.219905,-1.17967,0,-0.0827514,0.240134,0.201166,0.725984,-0.0793356,0.185407,0.232445,0,0,0,0
SIM,nr,F8_CONTRACTION,NormSpd,Not Short,NoSpin,1.2,11.69,1.68001,2.88001,6.0614e-05,1.66872,0.136751,-3.2353,-0.239498,1.13399,-0.114621,-0.171062,1.94326,-0.459592,-3,0,-0.297202,-1.11606,0,-0.0675773,0.16747,0.222305,0.725758,-0.0675648,0.122494,0.221653,0,0,0,0
SIM,nr,F8_CONTRACTION,NormSpd,Not Short,NoSpin,1.2,11.7899,1.77996,2.97996,5.6521e-05,1.76246,0.10323,-3.25075,-0.227283,0.987854,-0.182665,-0.15481,1.90974,-0.56723,-3,0,-0.373245,-1.03492,0,-0.0572958,0.104692,0.232986,0.725509,-0.0535775,0.0638351,0.205931,0,0,0,0
SIM,nr,F8_CONTRACTION,NormSpd,Not Short,NoSpin,1.2,11.8899,1.87995,3.07995,4.4165e-05,1.84234,0.0639448,-3.26558,-0.212081,0.816021,-0.251257,-0.135034,1.86868,-0.665964,-3,0,-0.447842,-0.937431,0,-0.0422985,0.0383874,0.237575,0.725308,-0.036497,0.0105342,0.188631,0,0,0,0
SIM,nr,F8_CONTRACTION,NormSpd,Not Short,NoSpin,1.2,11.9899,1.97997,3.17997,5.7354e-05,1.8965,0.0248264,-3.27728,-0.199048,0.651217,-0.311347,-0.11549,1.82023,-0.754227,-3,0,-0.520698,-0.825125,0,-0.0238092,-0.015721,0.232004,0.725208,-0.0176755,-0.0352676,0.172662,0,0,0,0
SIM,nr,F8_CONTRACTION,NormSpd,Not Short,NoSpin,1.2,12.0899,2.07993,3.27993,3.393e-05,1.93408,-0.0206587,-3.28774,-0.187747,0.472473,-0.372248,-0.0939436,1.76462,-0.830549,-3,0,-0.591457,-0.699879,0,-0.00229497,-0.0638361,0.221954,0.725251,0.00175979,-0.0734231,0.160073,0,0,0,0
SIM,nr,F8_CONTRACTION,NormSpd,Not Short,NoSpin,1.2,12.1899,2.17996,3.37996,3.2753e-05,1.95019,-0.0653355,-3.29566,-0.180946,0.311364,-0.422511,-0.0754012,1.70202,-0.893818,-3,0,-0.659926,-0.563513,0,0.0184773,-0.1001,0.211142,0.725409,0.0194552,-0.103841,0.151924,0,0,0,0
SIM,nr,F8_CONTRACTION,NormSpd,Not Short,NoSpin,1.2,12.2899,2.27995,3.47995,5.2675e-05,1.94998,-0.116396,-3.30231,-0.176781,0.146369,-0.469654,-0.0575356,1.63271,-0.942971,-3,0,-0.72577,-0.418302,0,0.0398997,-0.130489,0.198554,0.725636,0.0355582,-0.125606,0.147918,0,0,0,0
SIM,nr,F8_CONTRACTION,NormSpd,Not Short,NoSpin,1.2,12.3899,2.37995,3.57995,3.1364e-05,1.93499,-0.16573,-3.30687,-0.173849,0.0065372,-0.506331,-0.0432106,1.55696,-0.977256,-3,0,-0.788752,-0.266487,0,0.0560407,-0.147656,0.186911,0.72594,0.0502344,-0.137751,0.146491,0,0,0,0
SIM,nr,F8_CONTRACTION,NormSpd,Not Short,NoSpin,1.2,12.4899,2.47997,3.67997,5.2778e-05,1.90587,-0.221216,-3.31057,-0.170893,-0.127544,-0.538501,-0.0303331,1.47505,-0.99613,-3,0,-0.848629,-0.110449,0,0.074386,-0.157288,0.177926,0.726306,0.0646925,-0.140029,0.146098,0,0,0,0
SIM,nr,F8_CONTRACTION,NormSpd,Not Short,NoSpin,1.2,12.5899,2.57996,3.77996,5.1916e-05,1.86989,-0.273986,-3.31303,-0.165894,-0.232737,-0.562822,-0.0213074,1.38734,-0.999291,-3,0,-0.905147,0.0473051,0,0.0895686,-0.155282,0.170152,0.726672,0.0794737,-0.131646,0.144778,0,0,0,0
SIM,nr,F8_CONTRACTION,NormSpd,Not Short,NoSpin,1.2,12.6899,2.68,3.88,3.6378e-05,1.82754,-0.328819,-3.31483,-0.158071,-0.319294,-0.582727,-0.0144275,1.29411,-0.986686,-3,0,-0.958114,0.204379,0,0.104251,-0.141611,0.165352,0.727023,0.0944503,-0.112413,0.141275,0,0,0,0
SIM,nr,F8_CONTRACTION,NormSpd,Not Short,NoSpin,1.2,12.7899,2.77996,3.97996,3.1776e-05,1.78154,-0.385347,-3.31627,-0.14727,-0.387445,-0.59783,-0.00976797,1.19585,-0.958536,-3,0,-1.00726,0.358105,0,0.121861,-0.118864,0.16172,0.727425,0.111518,-0.0881149,0.134185,0,0,0,0
SIM,nr,F8_CONTRACTION,NormSpd,Not Short,NoSpin,1.2,12.89,2.88001,4.08001,5.1488e-05,1.72921,-0.447724,-3.31765,-0.132973,-0.442654,-0.606466,-0.00654687,1.09278,-0.915236,-3,0,-1.05247,0.506321,0,0.136308,-0.0897734,0.155883,0.727879,0.127945,-0.0597351,0.123664,0,0,0,0
SIM,nr,F8_CONTRACTION,NormSpd,Not Short,NoSpin,1.2,12.9899,2.97995,4.17995,5.074e-05,1.67968,-0.506099,-3.31928,-0.118537,-0.480359,-0.605367,-0.00557588,0.985508,-0.857558,-3,0,-1.09349,0.646397,0,0.150077,-0.0585213,0.150745,0.728377,0.141929,-0.0308805,0.110028,0,0,0,0
SIM,nr,F8_CONTRACTION,NormSpd,Not Short,NoSpin,1.2,13.0899,3.07995,4.27995,3.2504e-05,1.62544,-0.569205,-3.32102,-0.102146,-0.510316,-0.592051,-0.00592472,0.874283,-0.786324,-3,0,-1.13021,0.776369,0,0.161725,-0.0265168,0.142456,0.728929,0.15296,-0.0033125,0.0947839,0,0,0,0
SIM,nr,F8_CONTRACTION,NormSpd,Not Short,NoSpin,1.2,13.1899,3.17993,4.37993,3.1356e-05,1.57535,-0.625801,-3.32221,-0.0870758,-0.531406,-0.566622,-0.00682775,0.759634,-0.702708,-3,0,-1.16247,0.89407,0,0.167906,0.00104893,0.131775,0.729582,0.158827,0.0200433,0.0782462,0,0,0,0
