platform,controller,trajectory,traj_double,traj_short,traj_spin,lookahead_time,time,traj_time,ref_time,comp_time,x,y,z,yaw,vx,vy,vz,x_ref,y_ref,z_ref,yaw_ref,vx_ref,vy_ref,vz_ref,p,q,r,throttle_input,p_input,q_input,r_input,cbf_v_throttle,cbf_v_p,cbf_v_q,cbf_v_r
SIM,nr,F8_CONTRACTION,NormSpd,Not Short,NoSpin,1.2,10.0893,0.0800007,1.28,6.4579e-05,0.0262829,-0.00940019,-2.8743,0.00107246,-0.00377932,-0.00651881,-0.0785994,1.44062,0.999289,-3,0,0.87167,-0.047364,0,0.0897537,-0.193897,0.00220055,0.759447,0.365219,-0.551036,0.118541,0,0,0,0
SIM,nr,F8_CONTRACTION,NormSpd,Not Short,NoSpin,1.2,10.1893,0.179999,1.38,6.3151e-05,0.0275386,-0.00860445,-2.88603,0.00161538,0.0120906,0.00465155,-0.116534,1.52488,0.986686,-3,0,0.813115,-0.204374,0,0.122598,-0.237614,0.0153967,0.761414,0.348491,-0.552806,0.1198,0,0,0,0
SIM,nr,F8_CONTRACTION,NormSpd,Not Short,NoSpin,1.2,10.2893,0.28,1.48,7.1038e-05,0.0319939,-0.00546379,-2.90292,0.00237398,0.0576526,0.0322714,-0.187193,1.60313,0.958522,-3,0,0.751349,-0.358166,0,0.330312,-0.526099,0.0361902,0.756019,0.284365,-0.471475,0.0910448,0,0,0,0
SIM,nr,F8_CONTRACTION,NormSpd,Not Short,NoSpin,1.2,10.3894,0.380025,1.58002,8.401e-05,0.046397,0.00340381,-2.92853,0.00320433,0.16218,0.0959957,-0.243423,1.67507,0.915229,-3,0,0.686603,-0.506343,0,0.272646,-0.418618,0.0568636,0.747909,0.175088,-0.337912,0.051339,0,0,0,0
SIM,nr,F8_CONTRACTION,NormSpd,Not Short,NoSpin,1.2,10.4893,0.480002,1.68,5.0949e-05,0.0736073,0.0194398,-2.95632,0.00416059,0.298771,0.180335,-0.271761,1.74037,0.857526,-3,0,0.619178,-0.646466,0,0.149247,-0.277885,0.0620828,0.740168,0.0536393,-0.199823,0.0189032,0,0,0,0
SIM,nr,F8_CONTRACTION,NormSpd,Not Short,NoSpin,1.2,10.5894,0.580025,1.78002,0.000103094,0.123072,0.0469428,-2.98787,0.00439926,0.474474,0.283789,-0.279649,1.79882,0.786269,-3,0,0.549278,-0.776456,0,0.00521337,-0.127793,0.0565661,0.733909,-0.0563089,-0.0708427,0.000173186,0,0,0,0
SIM,nr,F8_CONTRACTION,NormSpd,Not Short,NoSpin,1.2,10.6894,0.680031,1.88003,0.000107028,0.188769,0.0816297,-3.01633,0.00219407,0.649015,0.376199,-0.272136,1.85017,0.702623,-3,0,0.477222,-0.894176,0,-0.108594,-0.000256456,0.0434947,0.72951,-0.143184,0.0439227,-0.00335097,0,0,0,0
SIM,nr,F8_CONTRACTION,NormSpd,Not Short,NoSpin,1.2,10.7894,0.780015,1.98002,0.000101046,0.282264,0.127662,-3.04503,-0.00444258,0.840042,0.458363,-0.255528,1.8942,0.607915,-3,0,0.403298,-0.997772,0,-0.19812,0.120736,0.0292689,0.726889,-0.203337,0.143105,0.00691792,0,0,0,0
SIM,nr,F8_CONTRACTION,NormSpd,Not Short,NoSpin,1.2,10.8895,0.880057,2.08006,0.000154882,0.387998,0.174942,-3.06936,-0.017246,1.00846,0.507122,-0.238482,1.93078,0.503562,-3,0,0.32774,-1.08568,0,-0.251719,0.212608,0.0188983,0.725714,-0.236868,0.224037,0.0288725,0,0,0,0
SIM,nr,F8_CONTRACTION,NormSpd,Not Short,NoSpin,1.2,10.9895,0.980033,2.18003,0.00014474,0.520942,0.227202,-3.09369,-0.0355971,1.17125,0.52423,-0.221888,1.95972,0.391335,-3,0,0.250937,-1.15642,0,-0.276538,0.292766,0.016851,0.725617,-0.247403,0.283775,0.0574647,0,0,0,0
SIM,nr,F8_CONTRACTION,NormSpd,Not Short,NoSpin,1.2,11.0895,1.08004,2.28004,0.000146545,0.657447,0.272576,-3.11479,-0.0549858,1.29425,0.507232,-0.210713,1.98093,0.272901,-3,0,0.17312,-1.20894,0,-0.27539,0.338921,0.0254226,0.726134,-0.241493,0.319374,0.0864245,0,0,0,0
SIM,nr,F8_CONTRACTION,NormSpd,Not Short,NoSpin,1.2,11.1894,1.18005,2.38005,9.8262e-05,0.815312,0.315089,-3.13709,-0.0744366,1.38855,0.457197,-0.203328,1.99432,0.150168,-3,0,0.0946221,-1.24239,0,-0.260695,0.36223,0.0401967,0.726879,-0.23016,0.330845,0.109629,0,0,0,0
SIM,nr,F8_CONTRACTION,NormSpd,Not Short,NoSpin,1.2,11.2896,1.28008,2.48008,0.000238696,0.96546,0.345509,-3.1575,-0.090099,1.43564,0.386007,-0.199301,1.99984,0.0250281,-3,0,0.0157268,-1.25624,0,-0.236275,0.361275,0.059214,0.727515,-0.205815,0.323428,0.126704,0,0,0,0
SIM,nr,F8_CONTRACTION,NormSpd,Not Short,NoSpin,1.2,11.3896,1.38008,2.58008,0.000244792,1.10241,0.365083,-3.17573,-0.101116,1.44315,0.306058,-0.196155,1.99747,-0.100465,-3,0,-0.0632041,-1.25028,0,-0.212322,0.343418,0.0777494,0.728011,-0.182534,0.300867,0.135978,0,0,0,0
