platform,controller,trajectory,traj_double,traj_short,traj_spin,lookahead_time,time,traj_time,ref_time,comp_time,x,y,z,yaw,vx,vy,vz,x_ref,y_ref,z_ref,yaw_ref,vx_ref,vy_ref,vz_ref,p,q,r,throttle_input,p_input,q_input,r_input,cbf_v_throttle,cbf_v_p,cbf_v_q,cbf_v_r
SIM,nr,F8_CONTRACTION,NormSpd,Not Short,NoSpin,1.2,10.09,0.0800073,1.28001,0.000208212,0.0829724,-0.0616759,-2.86885,0.00100739,-0.00597065,0.0576108,-0.0787343,1.44062,0.999289,-3,0,0.871666,-0.0473744,0,0.0961871,-0.230185,0.0357602,0.758963,0.352222,-0.545248,0.114076,0,0,0,0
SIM,nr,F8_CONTRACTION,NormSpd,Not Short,NoSpin,1.2,10.19,0.180013,1.38001,0.000218367,0.0882878,-0.054111,-2.87616,0.000543,0.00436104,0.0686974,-0.11876,1.5249,0.986683,-3,0,0.813107,-0.204396,0,0.114859,-0.212884,0.0507181,0.760665,0.333389,-0.54327,0.114629,0,0,0,0
SIM,nr,F8_CONTRACTION,NormSpd,Not Short,NoSpin,1.2,10.29,0.279987,1.47999,0.000227043,0.0962847,-0.0425681,-2.89003,0.0013006,0.0402158,0.0945553,-0.17705,1.60312,0.958526,-3,0,0.751358,-0.358146,0,0.261294,-0.493272,0.0702706,0.756899,0.285677,-0.498843,0.0956963,0,0,0,0
SIM,nr,F8_CONTRACTION,NormSpd,Not Short,NoSpin,1.2,10.39,0.379974,1.57997,0.000240437,0.109659,-0.0278527,-2.91026,0.00199772,0.116584,0.141723,-0.234446,1.67504,0.915254,-3,0,0.686636,-0.50627,0,0.280721,-0.461683,0.0866753,0.749278,0.189727,-0.376684,0.0581714,0,0,0,0
SIM,nr,F8_CONTRACTION,NormSpd,Not Short,NoSpin,1.2,10.4902,0.480073,1.68007,0.00030444,0.133986,-0.00707376,-2.936,0.00258251,0.235115,0.213386,-0.269938,1.74041,0.85748,-3,0,0.61913,-0.646562,0,0.171385,-0.325509,0.0944909,0.742162,0.0802433,-0.253315,0.0273785,0,0,0,0
SIM,nr,F8_CONTRACTION,NormSpd,Not Short,NoSpin,1.2,10.591,0.580867,1.78087,0.000290305,0.173648,0.0206944,-2.96445,0.00257463,0.38365,0.297436,-0.285176,1.79929,0.785615,-3,0,0.54868,-0.777501,0,0.0437399,-0.187661,0.0900253,0.735527,-0.031739,-0.119207,0.00534441,0,0,0,0
SIM,nr,F8_CONTRACTION,NormSpd,Not Short,NoSpin,1.2,10.6902,0.68003,1.88003,0.000372946,0.237494,0.057823,-2.9957,-0.000752011,0.565198,0.385842,-0.284107,1.85017,0.702623,-3,0,0.477222,-0.894176,0,-0.081232,-0.0474374,0.077731,0.730653,-0.11976,0.000180327,-0.00100731,0,0,0,0
SIM,nr,F8_CONTRACTION,NormSpd,Not Short,NoSpin,1.2,10.7902,0.780048,1.98005,0.000325378,0.317013,0.0957956,-3.02342,-0.010898,0.740759,0.44936,-0.272877,1.89422,0.607882,-3,0,0.403274,-0.997804,0,-0.167851,0.0726815,0.0636769,0.727372,-0.178757,0.110265,0.00897804,0,0,0,0
SIM,nr,F8_CONTRACTION,NormSpd,Not Short,NoSpin,1.2,10.89,0.879998,2.08,0.000208315,0.426434,0.135661,-3.05158,-0.0371618,0.931095,0.4811,-0.256222,1.93076,0.503625,-3,0,0.327785,-1.08564,0,-0.223731,0.181663,0.0507236,0.725586,-0.203091,0.202801,0.0360082,0,0,0,0
SIM,nr,F8_CONTRACTION,NormSpd,Not Short,NoSpin,1.2,10.9901,0.980045,2.18004,0.00022349,0.547318,0.166824,-3.07522,-0.0754317,1.09629,0.467764,-0.240951,1.95972,0.391322,-3,0,0.250928,-1.15643,0,-0.235708,0.271648,0.0489419,0.724847,-0.197871,0.275271,0.0769665,0,0,0,0
